P1,P2,P3,P4,P5,P6,P7,P8,absorbance.rep1,absorbance.rep2,absorbance.rep3
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1.4341,1.0705,1.1302
0,0,0,0,0,0,1,0,1.1524,0.9805,0.9645
0,0,0,0,0,0,1,1,1.181,1.144,1.1458
0,0,0,0,0,1,0,0,0.9289,0.8621,0.6882
0,0,0,0,0,1,0,1,1.3635,1.1395,1.1837
0,0,0,0,0,1,1,0,1.0646,0.8033,0.9965
0,0,0,0,0,1,1,1,1.0872,1.1445,1.1889
0,0,0,0,1,0,0,0,1.0449,0.4908,0.3392
0,0,0,0,1,0,0,1,1.1004,1.1195,1.1798
0,0,0,0,1,0,1,0,1.0649,0.8778,0.9135
0,0,0,0,1,0,1,1,1.176,1.1475,1.1664
0,0,0,0,1,1,0,0,0.8926,0.8665,0.7729
0,0,0,0,1,1,0,1,1.3579,1.0449,1.1235
0,0,0,0,1,1,1,0,1.0355,1.0729,1.3122
0,0,0,0,1,1,1,1,1.0498,1.2218,1.1665
0,0,0,1,0,0,0,0,1.1823,1.3972,0.9164
0,0,0,1,0,0,0,1,1.2623,1.1167,1.1057
0,0,0,1,0,0,1,0,1.0822,0.8435,0.9802
0,0,0,1,0,0,1,1,0.9215,1.1402,1.2057
0,0,0,1,0,1,0,0,0.9566,0.7729,0.7531
0,0,0,1,0,1,0,1,1.0017,1.1945,0.9586
0,0,0,1,0,1,1,0,1.0405,0.755,1.3192
0,0,0,1,0,1,1,1,0.8458,1.1622,1.2869
0,0,0,1,1,0,0,0,1.3689,1.0608,1.0694
0,0,0,1,1,0,0,1,0.9606,1.1959,1.1554
0,0,0,1,1,0,1,0,1.1391,1.3768,0.8332
0,0,0,1,1,0,1,1,0.9062,1.3009,0.9981
0,0,0,1,1,1,0,0,1.1926,0.6682,0.6427
0,0,0,1,1,1,0,1,1.2242,0.9877,1.2215
0,0,0,1,1,1,1,0,1.1954,0.7062,1.1806
0,0,0,1,1,1,1,1,0.8669,1.086,1.1635
0,0,1,0,0,0,0,0,0.8611,0.6489,0.9213
0,0,1,0,0,0,0,1,1.3598,1.0637,1.1673
0,0,1,0,0,0,1,0,0.9198,0.9204,0.6899
0,0,1,0,0,0,1,1,0.9537,1.3046,1.2095
0,0,1,0,0,1,0,0,1.0252,0.5848,0.9325
0,0,1,0,0,1,0,1,1.3368,1.2368,1.1707
0,0,1,0,0,1,1,0,0.9871,0.6091,0.8553
0,0,1,0,0,1,1,1,0.983,1.1691,1.1566
0,0,1,0,1,0,0,0,0.7136,0.6266,0.9466
0,0,1,0,1,0,0,1,1.3677,1.2484,1.2006
0,0,1,0,1,0,1,0,1.0458,0.6236,0.7385
0,0,1,0,1,0,1,1,0.7895,1.2513,1.1568
0,0,1,0,1,1,0,0,1.0005,0.5543,0.928
0,0,1,0,1,1,0,1,1.4284,1.216,1.2058
0,0,1,0,1,1,1,0,1.0711,0.7514,0.8397
0,0,1,0,1,1,1,1,0.9689,1.265,1.2217
0,0,1,1,0,0,0,0,1.076,0.9818,0.8215
0,0,1,1,0,0,0,1,1.2123,1.1985,1.1407
0,0,1,1,0,0,1,0,1.0246,1.0875,0.8311
0,0,1,1,0,0,1,1,0.9339,0.9329,1.0129
0,0,1,1,0,1,0,0,0.9997,1.3043,0.7923
0,0,1,1,0,1,0,1,1.1157,1.2689,1.233
0,0,1,1,0,1,1,0,1.0061,1.2159,0.9395
0,0,1,1,0,1,1,1,0.8618,1.1264,1.1695
0,0,1,1,1,0,0,0,0.9445,1.0658,0.8805
0,0,1,1,1,0,0,1,0.8954,1.2188,1.0294
0,0,1,1,1,0,1,0,1.063,1.2055,0.8341
0,0,1,1,1,0,1,1,0.864,1.2154,1.1524
0,0,1,1,1,1,0,0,1.0086,1.2023,0.9919
0,0,1,1,1,1,0,1,0.8693,1.2324,1.2234
0,0,1,1,1,1,1,0,1.1287,1.1219,0.9872
0,0,1,1,1,1,1,1,0.8669,1.1963,1.2563
0,1,0,0,0,0,0,0,0.6125,0.5904,0.3333
0,1,0,0,0,0,0,1,1.3259,1.1377,1.2315
0,1,0,0,0,0,1,0,1.3263,0.967,0.9203
0,1,0,0,0,0,1,1,0.9926,1.2996,1.2064
0,1,0,0,0,1,0,0,1.0268,0.7264,0.7858
0,1,0,0,0,1,0,1,1.386,1.2632,1.1835
0,1,0,0,0,1,1,0,1.2863,0.7202,0.937
0,1,0,0,0,1,1,1,0.893,1.0987,0.8473
0,1,0,0,1,0,0,0,1.089,0.7011,0.6175
0,1,0,0,1,0,0,1,1.3653,1.1553,1.1412
0,1,0,0,1,0,1,0,1.0485,1.0187,1.1054
0,1,0,0,1,0,1,1,0.9173,1.3055,1.2619
0,1,0,0,1,1,0,0,1.0361,0.7136,0.953
0,1,0,0,1,1,0,1,1.2946,1.239,1.2178
0,1,0,0,1,1,1,0,1.0362,0.7312,0.992
0,1,0,0,1,1,1,1,0.8409,1.203,1.152
0,1,0,1,0,0,0,0,1.2722,1.1619,0.8946
0,1,0,1,0,0,0,1,1.2111,1.0618,1.0792
0,1,0,1,0,0,1,0,1.0436,1.1794,1.0316
0,1,0,1,0,0,1,1,0.8009,1.1554,1.1906
0,1,0,1,0,1,0,0,1.3489,0.8932,0.9468
0,1,0,1,0,1,0,1,1.1381,0.9562,1.1814
0,1,0,1,0,1,1,0,1.3013,1.0889,1.047
0,1,0,1,0,1,1,1,0.8503,1.0589,1.0821
0,1,0,1,1,0,0,0,1.0308,1.2052,0.6126
0,1,0,1,1,0,0,1,0.8776,1.135,1.015
0,1,0,1,1,0,1,0,1.3007,1.3663,0.8478
0,1,0,1,1,0,1,1,0.769,1.0892,1.1689
0,1,0,1,1,1,0,0,1.2211,1.0111,0.793
0,1,0,1,1,1,0,1,1.2573,1.1974,1.3317
0,1,0,1,1,1,1,0,1.0616,1.1295,0.7306
0,1,0,1,1,1,1,1,0.8503,1.0224,0.8802
0,1,1,0,0,0,0,0,0.8062,0.8584,0.8373
0,1,1,0,0,0,0,1,1.3237,1.1871,1.2023
0,1,1,0,0,0,1,0,1.0327,0.6944,0.8285
0,1,1,0,0,0,1,1,0.9106,1.2429,0.9983
0,1,1,0,0,1,0,0,1.0598,0.6183,1.1767
0,1,1,0,0,1,0,1,1.2519,1.2363,1.1599
0,1,1,0,0,1,1,0,0.9974,0.6164,0.7978
0,1,1,0,0,1,1,1,0.942,1.1671,1.2297
0,1,1,0,1,0,0,0,1.07,0.7431,1.0033
0,1,1,0,1,0,0,1,1.3363,1.036,1.2077
